n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,success_rate
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,1
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,0
10,1.70041e+09,4.57655e+08,1.02386e+09,1.12065e+09,1.88905e+09,2.08753e+09,2.16666e+09,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,1
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,0
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,1
40,1.6462e+10,1.05294e+10,1.03472e+09,1.44348e+09,2.24496e+10,2.33613e+10,2.41463e+10,1
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,1
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
70,8.80548e+10,3.28917e+10,1.96661e+09,8.79138e+10,9.96711e+10,1.06831e+11,1.10017e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,1
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
100,2.04208e+11,7.37448e+10,2.5111e+09,2.18156e+11,2.19028e+11,2.23696e+11,2.6598e+11,0
